timesteps,average_distance,best_distance
20000 , 858.24 , 1957
40000 , 808.76 , 3161
60000 , 787.76 , 2026
80000 , 894.22 , 1974
100000 , 969.24 , 2018
120000 , 926.22 , 2471
140000 , 769.88 , 2019
160000 , 896.46 , 1795
180000 , 848.93 , 1818
200000 , 1003.51 , 1964
220000 , 983.98 , 3161
240000 , 814.17 , 1960
260000 , 748.1 , 1800
280000 , 876.35 , 2017
300000 , 967.99 , 3161
320000 , 884.64 , 2050
340000 , 1002.32 , 2026
360000 , 876.29 , 2019
380000 , 834.29 , 1654
400000 , 846.12 , 1797
420000 , 696.3 , 1526
440000 , 760.6 , 2021
460000 , 744.35 , 2022
480000 , 643.59 , 1965
500000 , 890.76 , 2763
520000 , 909.48 , 1952
540000 , 917.51 , 2026
560000 , 829.68 , 1798
580000 , 678.72 , 1675
600000 , 767.69 , 1781
620000 , 725.4 , 1521
640000 , 818.71 , 1525
660000 , 828.98 , 3161
680000 , 575.82 , 2750
700000 , 792.5 , 2008
720000 , 691.3 , 1434
740000 , 695.25 , 2761
760000 , 831.38 , 2016
780000 , 831.38 , 2477
800000 , 850.36 , 2758
820000 , 782.94 , 2015
840000 , 823.25 , 2744
860000 , 853.35 , 3161
880000 , 715.8 , 1945
900000 , 982.44 , 2226
920000 , 995.73 , 2023
940000 , 1058.23 , 3161
960000 , 1012.68 , 3161
980000 , 839.22 , 2015
1000000 , 712.99 , 2020
1020000 , 640.39 , 1516
1040000 , 743.18 , 2016
1060000 , 806.41 , 3161
1080000 , 913.9 , 2754
1100000 , 676.52 , 1799
1120000 , 797.49 , 3161
1140000 , 762.98 , 2025
1160000 , 667.31 , 1998
1180000 , 863.09 , 2758
1200000 , 1005.74 , 3161
1220000 , 964.21 , 2471
1240000 , 988.54 , 3161
1260000 , 948.08 , 3161
1280000 , 722.24 , 2762
1300000 , 743.19 , 3161
1320000 , 740.81 , 2471
1340000 , 657.78 , 3161
1360000 , 742.81 , 2117
1380000 , 862.76 , 3161
1400000 , 650.78 , 1677
1420000 , 580.85 , 2022
1440000 , 455.48 , 2751
1460000 , 553.48 , 1787
1480000 , 677.99 , 2018
1500000 , 706.89 , 2024
1520000 , 701.66 , 1792
1540000 , 710.67 , 1798
1560000 , 516.99 , 1676
1580000 , 322.45 , 898
1600000 , 500.69 , 1674
1620000 , 459.42 , 1516
1640000 , 356.27 , 1432
1660000 , 412.6 , 1435
1680000 , 411.23 , 1672
1700000 , 806.22 , 2019
1720000 , 605.83 , 1428
1740000 , 670.02 , 1792
1760000 , 377.3 , 1130
1780000 , 524.37 , 2472
1800000 , 789.86 , 2475
1820000 , 898.09 , 2473
1840000 , 649.14 , 2470
1860000 , 626.61 , 2226
1880000 , 674.64 , 1803
1900000 , 554.45 , 2021
1920000 , 560.1 , 1800
1940000 , 945.36 , 2023
1960000 , 647.06 , 1962
1980000 , 419.66 , 1674
2000000 , 836.7 , 2028
2020000 , 921.65 , 3161
2040000 , 999.05 , 2994
2060000 , 873.0 , 2029
2080000 , 845.96 , 3161
2100000 , 657.8 , 1802
2120000 , 800.0 , 2026
2140000 , 550.73 , 1515
2160000 , 651.49 , 2474
2180000 , 604.54 , 2470
2200000 , 551.25 , 1523
2220000 , 644.49 , 3161
2240000 , 435.27 , 2764
2260000 , 507.36 , 1526
2280000 , 1092.42 , 2764
2300000 , 908.83 , 2470
2320000 , 544.03 , 1960
2340000 , 454.82 , 2473
2360000 , 805.1 , 1792
2380000 , 722.16 , 1793
2400000 , 537.32 , 1527
2420000 , 590.86 , 1790
2440000 , 756.33 , 3161
2460000 , 871.31 , 1799
2480000 , 681.2 , 1799
2500000 , 735.74 , 1528
2520000 , 670.19 , 3161
2540000 , 745.68 , 1782
2560000 , 785.94 , 1526
2580000 , 813.92 , 2022
2600000 , 706.09 , 2758
2620000 , 554.89 , 1959
2640000 , 844.69 , 1963
